cat,tp,sl,dias,n,wr,e,ea_lin,n_W1,wr_W1,e_W1,ea_W1,ok
Sweet Spot,0.1,0.05,15,12,0.4166666666666667,0.9725158476570601,0.4732910458597692,20,35.0,0.09930993982966418,8.05513956396165,✅
Sweet Spot,0.08,0.05,11,8,0.5,1.2000000000000002,0.38933333333333336,18,44.44444444444444,0.576159114826202,42.05961538231274,✅
Sweet Spot,0.08,0.06,7,16,0.4375,0.49429945393132346,0.320745423439881,3,33.33333333333333,-1.5171813742165448,-18.45904005296796,❌
Cazador Dips,0.08,0.04,11,32,0.40625,0.5930464690261488,0.769642528691713,54,38.88888888888889,0.4259316347334914,93.27902800663462,✅
Cazador Dips,0.08,0.03,11,33,0.3333333333333333,0.3841662729950528,0.5141425286917122,61,32.78688524590164,0.3615413754112473,89.44131915034913,✅
Cazador Dips,0.1,0.04,11,30,0.3333333333333333,0.3859162336278912,0.4695314175806009,51,33.33333333333333,0.42941780932565843,88.81791689552368,✅
Recup. Rapida,0.15,0.05,11,32,0.34375,1.9834283637182857,2.574049254247731,18,16.666666666666664,-1.7978521634049556,-131.24320792856176,❌
Recup. Rapida,0.15,0.05,15,30,0.3333333333333333,1.658352978688026,2.017662790737098,19,15.789473684210526,-1.9696579583308944,-151.77308823360838,❌
Recup. Rapida,0.15,0.06,11,31,0.3548387096774194,1.5976918045611805,2.0086536409566396,18,16.666666666666664,-2.6311854967382895,-192.07654126189513,❌
Cuchillos Cayendo,0.15,0.06,11,128,0.3046875,0.7911820484985976,4.1071139228727205,66,25.757575757575758,-0.5738629197294349,-153.60397484757874,❌
Cuchillos Cayendo,0.15,0.08,11,117,0.3418803418803419,0.7311906189313806,3.4694994868294007,60,30.0,-0.8032790804103263,-195.46457623317937,❌
Cuchillos Cayendo,0.12,0.06,11,132,0.36363636363636365,0.5811025770672846,3.1108357959001967,69,28.985507246376812,-0.7738235624685799,-216.54162689745763,❌
