cat,tp,sl,dias,n,wr,e,ea_lin,ea_comp,usd,freq
Sweet Spot,0.05,0.03,5,7,28.6,-0.95,-27.0,-23.8,-33.7,28.0
Sweet Spot,0.05,0.04,5,7,28.6,-1.67,-47.3,-37.9,-59.1,28.0
Sweet Spot,0.05,0.05,5,6,33.3,-1.9,-46.2,-37.3,-57.8,24.0
Sweet Spot,0.05,0.06,5,6,33.3,-2.57,-62.5,-46.9,-78.1,24.0
Sweet Spot,0.05,0.08,5,6,33.3,-3.18,-77.4,-54.5,-96.7,24.0
Sweet Spot,0.05,0.1,5,6,50.0,-1.68,-40.9,-33.8,-51.1,24.0
Sweet Spot,0.08,0.03,5,7,14.3,-1.67,-47.3,-37.9,-59.1,28.0
Sweet Spot,0.08,0.04,5,7,14.3,-2.52,-71.6,-51.6,-89.5,28.0
Sweet Spot,0.08,0.05,5,6,16.7,-3.07,-74.6,-53.1,-93.3,24.0
Sweet Spot,0.08,0.06,5,6,16.7,-3.9,-94.9,-62.0,-118.6,24.0
Sweet Spot,0.08,0.08,5,6,16.7,-4.85,-118.0,-70.2,-147.4,24.0
Sweet Spot,0.08,0.1,5,6,16.7,-5.52,-134.2,-74.9,-167.8,24.0
Sweet Spot,0.1,0.03,5,7,14.3,-1.38,-39.2,-32.6,-49.0,28.0
Sweet Spot,0.1,0.04,5,7,14.3,-2.24,-63.5,-47.4,-79.4,28.0
Sweet Spot,0.1,0.05,5,6,16.7,-2.73,-66.5,-49.1,-83.1,24.0
Sweet Spot,0.1,0.06,5,6,16.7,-3.57,-86.8,-58.7,-108.5,24.0
Sweet Spot,0.1,0.08,5,6,16.7,-4.51,-109.8,-67.5,-137.3,24.0
Sweet Spot,0.1,0.1,5,6,16.7,-5.18,-126.1,-72.6,-157.6,24.0
Sweet Spot,0.12,0.03,5,7,0.0,-3.24,-91.9,-60.7,-114.9,28.0
Sweet Spot,0.12,0.04,5,7,0.0,-4.24,-120.3,-70.7,-150.3,28.0
Sweet Spot,0.12,0.05,5,6,0.0,-5.23,-127.3,-73.0,-159.2,24.0
Sweet Spot,0.12,0.06,5,6,0.0,-6.23,-151.7,-79.1,-189.6,24.0
Sweet Spot,0.12,0.08,5,6,0.0,-7.51,-182.8,-85.1,-228.6,24.0
Sweet Spot,0.12,0.1,5,6,0.0,-8.06,-196.2,-87.1,-245.2,24.0
Sweet Spot,0.15,0.03,5,7,0.0,-3.24,-91.9,-60.7,-114.9,28.0
Sweet Spot,0.15,0.04,5,7,0.0,-4.24,-120.3,-70.7,-150.3,28.0
Sweet Spot,0.15,0.05,5,6,0.0,-5.23,-127.3,-73.0,-159.2,24.0
Sweet Spot,0.15,0.06,5,6,0.0,-6.23,-151.7,-79.1,-189.6,24.0
Sweet Spot,0.15,0.08,5,6,0.0,-7.51,-182.8,-85.1,-228.6,24.0
Sweet Spot,0.15,0.1,5,6,0.0,-8.06,-196.2,-87.1,-245.2,24.0
Sweet Spot,0.2,0.03,5,7,0.0,-3.24,-91.9,-60.7,-114.9,28.0
Sweet Spot,0.2,0.04,5,7,0.0,-4.24,-120.3,-70.7,-150.3,28.0
Sweet Spot,0.2,0.05,5,6,0.0,-5.23,-127.3,-73.0,-159.2,24.0
Sweet Spot,0.2,0.06,5,6,0.0,-6.23,-151.7,-79.1,-189.6,24.0
Sweet Spot,0.2,0.08,5,6,0.0,-7.51,-182.8,-85.1,-228.6,24.0
Sweet Spot,0.2,0.1,5,6,0.0,-8.06,-196.2,-87.1,-245.2,24.0
Sweet Spot,0.05,0.03,7,3,33.3,-0.52,-6.3,-6.1,-7.9,12.0
Sweet Spot,0.05,0.04,7,3,33.3,-1.18,-14.4,-13.5,-18.0,12.0
Sweet Spot,0.05,0.05,7,3,33.3,-1.85,-22.5,-20.3,-28.1,12.0
Sweet Spot,0.05,0.06,7,3,33.3,-2.52,-30.6,-26.7,-38.3,12.0
Sweet Spot,0.05,0.08,7,3,33.3,-3.85,-46.8,-38.0,-58.6,12.0
Sweet Spot,0.05,0.1,7,3,33.3,-5.18,-63.1,-47.7,-78.8,12.0
Sweet Spot,0.08,0.03,7,3,33.3,0.48,5.9,6.0,7.3,12.0
Sweet Spot,0.08,0.04,7,3,33.3,-0.18,-2.2,-2.2,-2.8,12.0
Sweet Spot,0.08,0.05,7,3,33.3,-0.85,-10.3,-9.9,-12.9,12.0
Sweet Spot,0.08,0.06,7,3,33.3,-1.52,-18.5,-17.0,-23.1,12.0
Sweet Spot,0.08,0.08,7,3,33.3,-2.85,-34.7,-29.7,-43.4,12.0
Sweet Spot,0.08,0.1,7,3,33.3,-4.18,-50.9,-40.5,-63.6,12.0
Sweet Spot,0.1,0.03,7,3,33.3,1.15,14.0,14.9,17.5,12.0
Sweet Spot,0.1,0.04,7,3,33.3,0.48,5.9,6.0,7.3,12.0
Sweet Spot,0.1,0.05,7,3,33.3,-0.18,-2.2,-2.2,-2.8,12.0
Sweet Spot,0.1,0.06,7,3,33.3,-0.85,-10.3,-9.9,-12.9,12.0
Sweet Spot,0.1,0.08,7,3,33.3,-2.18,-26.6,-23.6,-33.2,12.0
Sweet Spot,0.1,0.1,7,3,33.3,-3.52,-42.8,-35.3,-53.5,12.0
Sweet Spot,0.12,0.03,7,3,0.0,-3.18,-38.7,-32.5,-48.4,12.0
Sweet Spot,0.12,0.04,7,3,0.0,-4.18,-50.9,-40.5,-63.6,12.0
Sweet Spot,0.12,0.05,7,3,0.0,-5.18,-63.1,-47.7,-78.8,12.0
Sweet Spot,0.12,0.06,7,3,0.0,-6.18,-75.2,-54.0,-94.0,12.0
Sweet Spot,0.12,0.08,7,3,0.0,-8.18,-99.6,-64.6,-124.5,12.0
Sweet Spot,0.12,0.1,7,3,0.0,-10.18,-123.9,-72.9,-154.9,12.0
Sweet Spot,0.15,0.03,7,3,0.0,-3.18,-38.7,-32.5,-48.4,12.0
Sweet Spot,0.15,0.04,7,3,0.0,-4.18,-50.9,-40.5,-63.6,12.0
Sweet Spot,0.15,0.05,7,3,0.0,-5.18,-63.1,-47.7,-78.8,12.0
Sweet Spot,0.15,0.06,7,3,0.0,-6.18,-75.2,-54.0,-94.0,12.0
Sweet Spot,0.15,0.08,7,3,0.0,-8.18,-99.6,-64.6,-124.5,12.0
Sweet Spot,0.15,0.1,7,3,0.0,-10.18,-123.9,-72.9,-154.9,12.0
Sweet Spot,0.2,0.03,7,3,0.0,-3.18,-38.7,-32.5,-48.4,12.0
Sweet Spot,0.2,0.04,7,3,0.0,-4.18,-50.9,-40.5,-63.6,12.0
Sweet Spot,0.2,0.05,7,3,0.0,-5.18,-63.1,-47.7,-78.8,12.0
Sweet Spot,0.2,0.06,7,3,0.0,-6.18,-75.2,-54.0,-94.0,12.0
Sweet Spot,0.2,0.08,7,3,0.0,-8.18,-99.6,-64.6,-124.5,12.0
Sweet Spot,0.2,0.1,7,3,0.0,-10.18,-123.9,-72.9,-154.9,12.0
Sweet Spot,0.05,0.03,11,18,61.1,1.69,123.2,239.2,154.0,73.0
Sweet Spot,0.05,0.04,11,18,61.1,1.3,94.8,156.4,118.5,73.0
Sweet Spot,0.05,0.05,11,18,61.1,0.91,66.4,93.7,83.0,73.0
Sweet Spot,0.05,0.06,11,18,61.1,0.52,38.0,46.1,47.5,73.0
Sweet Spot,0.05,0.08,11,18,61.1,-0.26,-18.8,-17.1,-23.5,73.0
Sweet Spot,0.05,0.1,11,18,72.2,0.63,46.1,58.4,57.6,73.0
Sweet Spot,0.08,0.03,11,18,44.4,1.69,123.2,239.2,154.0,73.0
Sweet Spot,0.08,0.04,11,18,44.4,1.13,82.6,127.4,103.3,73.0
Sweet Spot,0.08,0.05,11,18,44.4,0.58,42.1,52.1,52.6,73.0
Sweet Spot,0.08,0.06,11,18,44.4,0.02,1.5,1.5,1.9,73.0
Sweet Spot,0.08,0.08,11,18,44.4,-1.09,-79.6,-55.1,-99.5,73.0
Sweet Spot,0.08,0.1,11,17,47.1,-1.73,-119.5,-70.0,-149.3,69.0
Sweet Spot,0.1,0.03,11,18,44.4,2.58,188.1,540.3,235.1,73.0
Sweet Spot,0.1,0.04,11,18,44.4,2.02,147.5,330.7,184.4,73.0
Sweet Spot,0.1,0.05,11,18,44.4,1.47,106.9,189.1,133.7,73.0
Sweet Spot,0.1,0.06,11,18,44.4,0.91,66.4,93.7,83.0,73.0
Sweet Spot,0.1,0.08,11,18,44.4,-0.2,-14.7,-13.7,-18.4,73.0
Sweet Spot,0.1,0.1,11,17,41.2,-1.97,-135.7,-74.6,-169.6,69.0
Sweet Spot,0.12,0.03,11,18,38.9,2.63,192.1,566.1,240.1,73.0
Sweet Spot,0.12,0.04,11,18,38.9,2.02,147.5,330.7,184.4,73.0
Sweet Spot,0.12,0.05,11,18,38.9,1.41,102.9,177.8,128.6,73.0
Sweet Spot,0.12,0.06,11,18,38.9,0.8,58.3,78.7,72.9,73.0
Sweet Spot,0.12,0.08,11,18,38.9,-0.42,-30.9,-26.7,-38.7,73.0
Sweet Spot,0.12,0.1,11,17,35.3,-2.44,-168.1,-81.8,-210.2,69.0
Sweet Spot,0.15,0.03,11,18,27.8,1.8,131.3,267.4,164.1,73.0
Sweet Spot,0.15,0.04,11,18,27.8,1.08,78.6,118.5,98.2,73.0
Sweet Spot,0.15,0.05,11,18,27.8,0.35,25.8,29.4,32.3,73.0
Sweet Spot,0.15,0.06,11,18,27.8,-0.37,-26.9,-23.6,-33.6,73.0
Sweet Spot,0.15,0.08,11,18,27.8,-1.81,-132.3,-73.7,-165.4,73.0
Sweet Spot,0.15,0.1,11,17,29.4,-2.85,-196.5,-86.4,-245.7,69.0
Sweet Spot,0.2,0.03,11,17,17.6,0.86,59.3,80.6,74.2,69.0
Sweet Spot,0.2,0.04,11,17,17.6,0.04,2.6,2.6,3.2,69.0
Sweet Spot,0.2,0.05,11,17,17.6,-0.79,-54.2,-42.0,-67.8,69.0
Sweet Spot,0.2,0.06,11,17,17.6,-1.61,-111.0,-67.3,-138.7,69.0
Sweet Spot,0.2,0.08,11,17,17.6,-3.26,-224.5,-89.8,-280.7,69.0
Sweet Spot,0.2,0.1,11,16,18.8,-4.57,-296.8,-95.2,-371.1,65.0
Sweet Spot,0.05,0.03,15,20,65.0,2.05,166.2,418.3,207.8,81.0
Sweet Spot,0.05,0.04,15,20,65.0,1.7,137.8,292.3,172.3,81.0
Sweet Spot,0.05,0.05,15,20,65.0,1.35,109.4,196.6,136.8,81.0
Sweet Spot,0.05,0.06,15,20,65.0,1.0,81.1,124.0,101.3,81.0
